cpu_count,cpu_percent,disk_percent,disk_read_mb,disk_total_gb,disk_used_gb,disk_write_mb,memory_percent,memory_total_gb,memory_used_gb,net_recv_mb,net_sent_mb,process_count,swap_percent,swap_used_gb
32,77.0,61.0,8459.4921875,231.16841888427734,134.6174201965332,22374.0126953125,23.7,30.430973052978516,7.223564147949219,2898.724690437317,1890.2025108337402,616,0.0,0.0
32,76.2,61.0,8459.4921875,231.16841888427734,134.61780548095703,22411.9267578125,23.7,30.430973052978516,7.209552764892578,2903.3574047088623,1895.1972484588623,620,0.0,0.0
32,68.0,61.0,8459.4921875,231.16841888427734,134.61823654174805,22452.2080078125,24.1,30.430973052978516,7.328468322753906,2908.1311178207397,1899.9527988433838,617,0.0,0.0
32,77.0,61.0,8459.4921875,231.16841888427734,134.61863327026367,22492.2939453125,23.7,30.430973052978516,7.218696594238281,2912.7030124664307,1904.6357688903809,623,0.0,0.0
32,76.3,61.0,8459.4921875,231.16841888427734,134.61903381347656,22531.0126953125,23.7,30.430973052978516,7.2073516845703125,2917.2252883911133,1909.2622213363647,622,0.0,0.0
32,76.9,61.0,8459.4921875,231.16841888427734,134.61944580078125,22574.1220703125,23.7,30.430973052978516,7.212207794189453,2922.011643409729,1914.1489791870117,616,0.0,0.0
32,76.4,61.0,8459.4921875,231.16841888427734,134.61984252929688,22612.0283203125,23.8,30.430973052978516,7.227668762207031,2926.4468212127686,1918.688328742981,617,0.0,0.0
32,76.8,61.0,8459.4921875,231.16841888427734,134.6202735900879,22652.5908203125,23.7,30.430973052978516,7.221702575683594,2931.580054283142,1924.159062385559,622,0.0,0.0
32,76.5,61.0,8459.4921875,231.16841888427734,134.62065887451172,22691.7548828125,23.7,30.430973052978516,7.2230682373046875,2935.8857412338257,1928.4471797943115,618,0.0,0.0
32,76.9,61.0,8459.4921875,231.16841888427734,134.6210708618164,22730.2001953125,23.9,30.430973052978516,7.267978668212891,2940.7185249328613,1933.739070892334,619,0.0,0.0
32,76.7,61.0,8459.4921875,231.16841888427734,134.6214828491211,22773.8798828125,23.6,30.430973052978516,7.195682525634766,2945.413950920105,1938.6525745391846,611,0.0,0.0
32,76.5,61.0,8459.4921875,231.16841888427734,134.62189102172852,22811.2626953125,23.7,30.430973052978516,7.199348449707031,2950.1289567947388,1943.3533935546875,609,0.0,0.0
32,76.8,61.0,8459.4921875,231.16841888427734,134.62228393554688,22850.4658203125,23.7,30.430973052978516,7.198066711425781,2954.521453857422,1947.845606803894,606,0.0,0.0
32,76.7,61.0,8459.4921875,231.16841888427734,134.62267684936523,22888.0439453125,23.6,30.430973052978516,7.192657470703125,2959.075746536255,1952.5109548568726,609,0.0,0.0
32,77.2,61.0,8459.4921875,231.16841888427734,134.6230812072754,22927.0751953125,23.7,30.430973052978516,7.204082489013672,2963.7904329299927,1957.2108192443848,607,0.0,0.0
32,76.9,61.0,8459.4921875,231.16841888427734,134.62350463867188,22970.7392578125,23.7,30.430973052978516,7.225017547607422,2968.521635055542,1962.0420331954956,607,0.0,0.0
32,77.1,61.0,8459.4921875,231.16841888427734,134.62388229370117,23008.6064453125,23.7,30.430973052978516,7.199283599853516,2972.8305892944336,1966.4512901306152,609,0.0,0.0
32,76.6,61.0,8459.4921875,231.16841888427734,134.62427139282227,23046.8798828125,23.7,30.430973052978516,7.200595855712891,2977.305959701538,1970.9125213623047,609,0.0,0.0
32,77.0,61.0,8459.4921875,231.16841888427734,134.62466430664062,23086.4892578125,23.7,30.430973052978516,7.209053039550781,2981.9661893844604,1975.7913131713867,607,0.0,0.0
32,76.9,61.0,8459.4921875,231.16841888427734,134.62503814697266,23124.9501953125,23.9,30.430973052978516,7.258853912353516,2986.2655420303345,1980.3124494552612,607,0.0,0.0
32,77.0,61.0,8459.4921875,231.16841888427734,134.62544631958008,23166.4501953125,24.2,30.430973052978516,7.355400085449219,2990.829146385193,1985.0948305130005,608,0.0,0.0
32,77.1,61.0,8459.4921875,231.16841888427734,134.62585067749023,23206.1064453125,23.7,30.430973052978516,7.222133636474609,2995.4920196533203,1990.0940761566162,608,0.0,0.0
32,79.2,61.0,8459.4921875,231.16841888427734,134.62627410888672,23246.0361328125,24.2,30.430973052978516,7.355998992919922,3000.6513204574585,1996.1550979614258,613,0.0,0.0
32,76.8,61.0,8459.4921875,231.16841888427734,134.62670135498047,23879.9423828125,23.7,30.430973052978516,7.218536376953125,3012.518253326416,2001.7338485717773,614,0.0,0.0
32,77.0,61.0,8459.4921875,231.16841888427734,134.62710571289062,23924.3720703125,23.8,30.430973052978516,7.252754211425781,3017.177520751953,2006.4942417144775,612,0.0,0.0
32,76.3,61.0,8459.4921875,231.16841888427734,134.6275291442871,23963.6376953125,23.7,30.430973052978516,7.217395782470703,3022.1588191986084,2011.568016052246,610,0.0,0.0
32,76.8,61.0,8459.4921875,231.16841888427734,134.62792587280273,24001.2626953125,23.7,30.430973052978516,7.207042694091797,3026.850766181946,2016.241361618042,608,0.0,0.0
32,77.2,61.0,8459.4921875,231.16841888427734,134.62835311889648,24040.3564453125,23.7,30.430973052978516,7.212516784667969,3031.6763620376587,2021.0525064468384,607,0.0,0.0
32,76.8,61.0,8459.4921875,231.16841888427734,134.62876892089844,24079.5986328125,23.7,30.430973052978516,7.218009948730469,3036.527105331421,2025.88525390625,604,0.0,0.0
32,77.2,61.0,8459.4921875,231.16841888427734,134.6291847229004,24122.6455078125,23.6,30.430973052978516,7.182315826416016,3041.219042778015,2030.917194366455,609,0.0,0.0
